task,model,predictor,ratio,metric,value
sst2,textattack/bert-base-uncased-SST-2,none,0.0,accuracy,0.9243
sst2,textattack/bert-base-uncased-SST-2,wavelet,0.1,accuracy,0.8349
sst2,textattack/bert-base-uncased-SST-2,wavelet,0.2,accuracy,0.5688
sst2,textattack/bert-base-uncased-SST-2,wavelet,0.3,accuracy,0.5092
sst2,textattack/bert-base-uncased-SST-2,attention_entropy_true,0.1,accuracy,0.9128
sst2,textattack/bert-base-uncased-SST-2,attention_entropy_true,0.2,accuracy,0.8612
sst2,textattack/bert-base-uncased-SST-2,attention_entropy_true,0.3,accuracy,0.8119
sst2,textattack/bert-base-uncased-SST-2,magnitude,0.1,accuracy,0.8601
sst2,textattack/bert-base-uncased-SST-2,magnitude,0.2,accuracy,0.8693
sst2,textattack/bert-base-uncased-SST-2,magnitude,0.3,accuracy,0.7626
sst2,textattack/bert-base-uncased-SST-2,attention_weight,0.1,accuracy,0.906
sst2,textattack/bert-base-uncased-SST-2,attention_weight,0.2,accuracy,0.7833
sst2,textattack/bert-base-uncased-SST-2,attention_weight,0.3,accuracy,0.7362
sst2,textattack/bert-base-uncased-SST-2,random,0.1,accuracy,0.8761
sst2,textattack/bert-base-uncased-SST-2,random,0.2,accuracy,0.5344
sst2,textattack/bert-base-uncased-SST-2,random,0.3,accuracy,0.5092
sst2,distilbert-base-uncased-finetuned-sst-2-english,none,0.0,accuracy,0.9106
sst2,distilbert-base-uncased-finetuned-sst-2-english,wavelet,0.1,accuracy,0.8452
sst2,distilbert-base-uncased-finetuned-sst-2-english,wavelet,0.2,accuracy,0.7661
sst2,distilbert-base-uncased-finetuned-sst-2-english,wavelet,0.3,accuracy,0.4908
sst2,distilbert-base-uncased-finetuned-sst-2-english,attention_entropy_true,0.1,accuracy,0.8968
sst2,distilbert-base-uncased-finetuned-sst-2-english,attention_entropy_true,0.2,accuracy,0.8567
sst2,distilbert-base-uncased-finetuned-sst-2-english,attention_entropy_true,0.3,accuracy,0.8521
sst2,distilbert-base-uncased-finetuned-sst-2-english,magnitude,0.1,accuracy,0.9048
sst2,distilbert-base-uncased-finetuned-sst-2-english,magnitude,0.2,accuracy,0.8979
sst2,distilbert-base-uncased-finetuned-sst-2-english,magnitude,0.3,accuracy,0.8612
sst2,distilbert-base-uncased-finetuned-sst-2-english,attention_weight,0.1,accuracy,0.9014
sst2,distilbert-base-uncased-finetuned-sst-2-english,attention_weight,0.2,accuracy,0.8922
sst2,distilbert-base-uncased-finetuned-sst-2-english,attention_weight,0.3,accuracy,0.8028
sst2,distilbert-base-uncased-finetuned-sst-2-english,random,0.1,accuracy,0.8704
sst2,distilbert-base-uncased-finetuned-sst-2-english,random,0.2,accuracy,0.7603
sst2,distilbert-base-uncased-finetuned-sst-2-english,random,0.3,accuracy,0.4908
wikitext2_ppl,gpt2,none,0.0,ppl,39.36
wikitext2_ppl,gpt2,wavelet,0.1,ppl,49.32
wikitext2_ppl,gpt2,wavelet,0.2,ppl,104.6
wikitext2_ppl,gpt2,wavelet,0.3,ppl,128.22
wikitext2_ppl,gpt2,attention_entropy_true,0.1,ppl,75.28
