model,task,method,param,metric,value
textattack/bert-base-uncased-SST-2,sst2,none,,accuracy,0.9243
textattack/bert-base-uncased-SST-2,sst2,wav_int8,170,accuracy,0.9048
textattack/bert-base-uncased-SST-2,sst2,wav_int8,341,accuracy,0.9209
textattack/bert-base-uncased-SST-2,sst2,pca,128,accuracy,0.5344
textattack/bert-base-uncased-SST-2,sst2,pca,256,accuracy,0.5642
distilbert-base-uncased-finetuned-sst-2-english,sst2,none,,accuracy,0.9106
distilbert-base-uncased-finetuned-sst-2-english,sst2,wav_int8,170,accuracy,0.8612
distilbert-base-uncased-finetuned-sst-2-english,sst2,wav_int8,341,accuracy,0.9094
distilbert-base-uncased-finetuned-sst-2-english,sst2,pca,128,accuracy,0.6583
distilbert-base-uncased-finetuned-sst-2-english,sst2,pca,256,accuracy,0.7397
gpt2,wikitext2_ppl,none,,ppl,39.3558
gpt2,wikitext2_ppl,wav_int8,170,ppl,6.355760270730579e+31
gpt2,wikitext2_ppl,wav_int8,341,ppl,6.276667101944997e+22
gpt2,wikitext2_ppl,pca,128,ppl,1837.0753
gpt2,wikitext2_ppl,pca,256,ppl,849.5856
textattack/bert-base-uncased-SST-2,sst2,dct_int8,170,accuracy,0.9174
textattack/bert-base-uncased-SST-2,sst2,dct_int8,341,accuracy,0.9209
textattack/bert-base-uncased-SST-2,sst2,topk_int8,170,accuracy,0.9163
textattack/bert-base-uncased-SST-2,sst2,topk_int8,341,accuracy,0.9186
distilbert-base-uncased-finetuned-sst-2-english,sst2,dct_int8,170,accuracy,0.8991
distilbert-base-uncased-finetuned-sst-2-english,sst2,dct_int8,341,accuracy,0.9037
distilbert-base-uncased-finetuned-sst-2-english,sst2,topk_int8,170,accuracy,0.8956
distilbert-base-uncased-finetuned-sst-2-english,sst2,topk_int8,341,accuracy,0.906
gpt2,wikitext2_ppl,dct_int8,170,ppl,7.719358309434181e+24
gpt2,wikitext2_ppl,dct_int8,341,ppl,9.531363466162794e+16
gpt2,wikitext2_ppl,topk_int8,170,ppl,1.1000926121973363e+28
gpt2,wikitext2_ppl,topk_int8,341,ppl,47.8162
